site_name,resolution,scalar,cells,particles,run_n,run_time
SJER,10,0.25,2929,732.25,6,0.28759050369262695
SJER,10,0.25,2929,732.25,7,0.2653372287750244
SJER,10,0.25,2929,732.25,8,0.14059782028198242
SJER,10,0.25,2929,732.25,9,0.14461350440979004
SJER,10,0.5,2929,1464.5,0,0.19578242301940918
SJER,10,0.5,2929,1464.5,1,0.24425649642944336
SJER,10,0.5,2929,1464.5,2,0.21454858779907227
SJER,10,0.5,2929,1464.5,3,0.18771934509277344
SJER,10,0.5,2929,1464.5,4,0.14147567749023438
SJER,10,0.5,2929,1464.5,5,0.14362335205078125
SJER,10,0.5,2929,1464.5,6,0.1751406192779541
SJER,10,0.5,2929,1464.5,7,0.1316077709197998
SJER,10,0.5,2929,1464.5,8,0.21167302131652832
SJER,10,0.5,2929,1464.5,9,0.22780275344848633
SJER,10,1,2929,2929,0,0.31562018394470215
SJER,10,1,2929,2929,1,0.2088465690612793
SJER,10,1,2929,2929,2,0.16571736335754395
SJER,10,1,2929,2929,3,0.2689235210418701
SJER,10,1,2929,2929,4,0.21385574340820312
SJER,10,1,2929,2929,5,0.18351531028747559
SJER,10,1,2929,2929,6,0.32691264152526855
SJER,10,1,2929,2929,7,0.2759275436401367
SJER,10,1,2929,2929,8,0.22214293479919434
SJER,10,1,2929,2929,9,0.2550387382507324
SJER,10,2,2929,5858,0,0.20146512985229492
SJER,10,2,2929,5858,1,0.25919508934020996
SJER,10,2,2929,5858,2,0.21857476234436035
SJER,10,2,2929,5858,3,0.24063467979431152
SJER,10,2,2929,5858,4,0.1883084774017334
SJER,10,2,2929,5858,5,0.24353837966918945
SJER,10,2,2929,5858,6,0.20376944541931152
SJER,10,2,2929,5858,7,0.24306106567382812
SJER,10,2,2929,5858,8,0.24313950538635254
SJER,10,2,2929,5858,9,0.23964762687683105
SJER,10,4,2929,11716,0,0.2601461410522461
SJER,10,4,2929,11716,1,0.30005788803100586
SJER,10,4,2929,11716,2,0.40283703804016113
SJER,10,4,2929,11716,3,0.2738497257232666
SJER,10,4,2929,11716,4,0.3126261234283447
SJER,10,4,2929,11716,5,0.25639843940734863
SJER,10,4,2929,11716,6,0.32609128952026367
SJER,10,4,2929,11716,7,0.3048272132873535
SJER,10,4,2929,11716,8,0.23595547676086426
SJER,10,4,2929,11716,9,0.3777616024017334
SJER,30,0.25,324,100,0,0.12446784973144531
SJER,30,0.25,324,100,1,0.11021709442138672
SJER,30,0.25,324,100,2,0.1149289608001709
SJER,30,0.25,324,100,3,0.14289474487304688
SJER,30,0.25,324,100,4,0.08422517776489258
SJER,30,0.25,324,100,5,0.08223462104797363
SJER,30,0.25,324,100,6,0.0886683464050293
SJER,30,0.25,324,100,7,0.16474318504333496
SJER,30,0.25,324,100,8,0.08273673057556152
SJER,30,0.25,324,100,9,0.22374796867370605
SJER,30,0.5,324,162.0,0,0.15349245071411133
SJER,30,0.5,324,162.0,1,0.19387483596801758
SJER,30,0.5,324,162.0,2,0.18837904930114746
SJER,30,0.5,324,162.0,3,0.1767573356628418
SJER,30,0.5,324,162.0,4,0.15926527976989746
SJER,30,0.5,324,162.0,5,0.12127876281738281
SJER,30,0.5,324,162.0,6,0.13640570640563965
SJER,30,0.5,324,162.0,7,0.12624573707580566
SJER,30,0.5,324,162.0,8,0.12269139289855957
SJER,30,0.5,324,162.0,9,0.16969656944274902
SJER,30,1,324,324,0,0.17216134071350098
SJER,30,1,324,324,1,0.1316843032836914
SJER,30,1,324,324,2,0.1962604522705078
SJER,30,1,324,324,3,0.22179841995239258
SJER,30,1,324,324,4,0.08800578117370605
SJER,30,1,324,324,5,0.10597729682922363
SJER,30,1,324,324,6,0.09727334976196289
SJER,30,1,324,324,7,0.13542461395263672
SJER,30,1,324,324,8,0.09242701530456543
SJER,30,1,324,324,9,0.10593485832214355
SJER,30,2,324,648,0,0.1435081958770752
SJER,30,2,324,648,1,0.0822598934173584
SJER,30,2,324,648,2,0.09300899505615234
SJER,30,2,324,648,3,0.23773550987243652
SJER,30,2,324,648,4,0.08612990379333496
SJER,30,2,324,648,5,0.15853023529052734
SJER,30,2,324,648,6,0.23679709434509277
SJER,30,2,324,648,7,0.21663165092468262
SJER,30,2,324,648,8,0.08756041526794434
SJER,30,2,324,648,9,0.08118748664855957
SJER,30,4,324,1296,0,0.2431352138519287
SJER,30,4,324,1296,1,0.09857916831970215
SJER,30,4,324,1296,2,0.08450436592102051
SJER,30,4,324,1296,3,0.14180493354797363
SJER,30,4,324,1296,4,0.14561724662780762
SJER,30,4,324,1296,5,0.08527112007141113
SJER,30,4,324,1296,6,0.08758258819580078
SJER,30,4,324,1296,7,0.11663389205932617
SJER,30,4,324,1296,8,0.08712291717529297
SJER,30,4,324,1296,9,0.17314362525939941
