,init.walk,maxwalk,remaining walkers,duration (sec.),mean man,mean infil,Location,map_name,Cells,Min Depth (m),Max Depth (m),Seed,Resolution (m),scalar_str,Particle Scalar,Number of iterations (cells),Mean flow velocity (m/s),Time Step (s),Time at Step (s),Time at Step (min),Mean Source Rate (Rain Fall Excess) (m/s),Compute Time (s),particles,Particle Density
4,201570,50397,120634,7200,0.232658,0.0,clay-center,depth_1_025_4.050,468969,0.00038666639011353254,0.6901981234550476,4,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.14185404777528,50397.25,0.25
5,201570,50397,103499,7200,0.232658,0.0,clay-center,depth_1_025_4.060,468969,0.00038666639011353254,0.7450645565986633,4,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.14185404777528,50397.25,0.25
6,201570,50397,85196,7200,0.232658,0.0,clay-center,depth_1_025_4.070,468969,0.00038666639011353254,0.8023916482925415,4,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.14185404777528,50397.25,0.25
7,201570,50397,64148,7200,0.232658,0.0,clay-center,depth_1_025_4.080,468969,0.00038666639011353254,0.8500358462333679,4,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.14185404777528,50397.25,0.25
8,201570,50397,42969,7200,0.232658,0.0,clay-center,depth_1_025_4.090,468969,0.00038666639011353254,0.8841208219528198,4,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.14185404777528,50397.25,0.25
9,201570,50397,26094,7200,0.232658,0.0,clay-center,depth_1_025_4.100,468969,0.00038666639011353254,0.905880868434906,4,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.14185404777528,50397.25,0.25
10,201570,50397,14507,7200,0.232658,0.0,clay-center,depth_1_025_4.110,468969,0.00038666639011353254,0.9187929630279541,4,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.14185404777528,50397.25,0.25
11,201570,50397,7641,7200,0.232658,0.0,clay-center,depth_1_025_4.120,468969,0.00038666639011353254,0.9256212711334229,4,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.14185404777528,50397.25,0.25
0,201570,50397,192005,7200,0.232658,0.0,clay-center,depth_1_025_5.010,468969,0.00038666639011353254,0.4595845937728882,5,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.18204116821288,50397.25,0.25
1,201570,50397,184485,7200,0.232658,0.0,clay-center,depth_1_025_5.020,468969,0.00038666639011353254,0.5289396643638611,5,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.18204116821288,50397.25,0.25
