,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
5,1519531,81705,1601236,0.00023815291933715343,0.030365660786628723,0.03012750786729157,0.0021906656004059863,0.0021906656004059863,0.0010800777911719641,1.166568034982909e-06,49.303635889101386,3328.7842904505087,0.0015331272734329104,0.001979008549824357,0.0025605466216802597,"[{'percentile': 90, 'value': 0.003306448459625244}]",542.1365721702575,381147.75,1.524591,1,025,30,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,5.863076075911522e-05,0.4191653221845627,0.4191066914238036,0.009996845735357918,0.009996845735357918,0.017577301572695186,0.00030896153057747265,175.82847668165869,15190.516997094152,0.003815669403411448,0.006140900915488601,0.009537775069475174,"[{'percentile': 90, 'value': 0.01639936361461878}]",539.4413881540298,762295.5,1.524591,1,05,05,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
1,1519531,81705,1601236,5.863076075911522e-05,0.5113000512123108,0.5112414204515517,0.012634862542642176,0.012634862542642176,0.029195470556180506,0.0008523755009968028,231.0707414318669,19199.06531428361,0.003896326175890863,0.006275483779609204,0.010002819541841745,"[{'percentile': 90, 'value': 0.01896372903138399}]",539.4413881540298,762295.5,1.524591,1,05,10,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
2,1519531,81705,1601236,5.863076075911522e-05,0.6834418833255768,0.6833832525648177,0.014871050124003981,0.014871050124003981,0.03773240499965456,0.001423734387057956,253.7306019751027,22597.021665977893,0.003966694185510278,0.006385710462927819,0.010333109740167856,"[{'percentile': 90, 'value': 0.021266276575624944}]",539.4413881540298,762295.5,1.524591,1,05,15,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
3,1519531,81705,1601236,5.863076075911522e-05,0.8968978881835937,0.8968392574228347,0.016880939102497786,0.016880939102497786,0.04484197712376785,0.0020108029123685187,265.63674480131743,25651.110275357565,0.004023736505769193,0.006475863792002201,0.010602307412773371,"[{'percentile': 90, 'value': 0.0233715508133173}]",539.4413881540298,762295.5,1.524591,1,05,20,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
4,1519531,81705,1601236,5.863076075911522e-05,1.1250500082969666,1.1249913775362075,0.018729702219820437,0.018729702219820437,0.05111213590370514,0.002612450436638824,272.89347851786164,28460.36314378597,0.004069407726638019,0.006550997914746404,0.010858710762113333,"[{'percentile': 90, 'value': 0.025484332628548146}]",539.4413881540298,762295.5,1.524591,1,05,25,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
5,1519531,81705,1601236,5.863076075911522e-05,1.3370419502258302,1.336983319465071,0.02044045989489632,0.02044045989489632,0.056807595842958546,0.003227102945456921,277.91740565065544,31059.9124645517,0.004111299011856318,0.0066186873707920315,0.011084292270243167,"[{'percentile': 90, 'value': 0.02761799581348896}]",539.4413881540298,762295.5,1.524591,1,05,30,average,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
0,1519531,81705,1601236,0.0,0.419155478477478,0.419155478477478,0.00999376440787012,0.00999376440787012,0.017577971835299744,0.00030898509384259104,175.88939580621928,15185.83482445529,0.003816650598309934,0.00613064575009048,0.009540709666907787,"[{'percentile': 90, 'value': 0.016399966552853584}]",539.4413881540298,762295.5,1.524591,1,05,05,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
1,1519531,81705,1601236,0.0,0.5117315351963043,0.5117315351963043,0.012632138177795104,0.012632138177795104,0.029196520643506637,0.0008524368176867092,231.12888912843408,19194.925557443174,0.0038968450389802456,0.006276487605646253,0.009999362751841545,"[{'percentile': 90, 'value': 0.018960390239953995}]",539.4413881540298,762295.5,1.524591,1,05,10,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
2,1519531,81705,1601236,0.0,0.683707594871521,0.683707594871521,0.01486829767339055,0.01486829767339055,0.03773306770598066,0.0014237843985041203,253.7820302959811,22592.839231944818,0.003969656303524971,0.006384509615600109,0.010327626951038837,"[{'percentile': 90, 'value': 0.021266956813633442}]",539.4413881540298,762295.5,1.524591,1,05,15,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
3,1519531,81705,1601236,0.0,0.8969206809997559,0.8969206809997559,0.016878423639384674,0.016878423639384674,0.04484332551219723,0.0020109238429928795,265.6843226020132,25647.28795117783,0.0040202157106250525,0.006473686313256621,0.010598073247820139,"[{'percentile': 90, 'value': 0.023374179378151894}]",539.4413881540298,762295.5,1.524591,1,05,20,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
4,1519531,81705,1601236,0.0,1.125331163406372,1.125331163406372,0.018727095895359418,0.018727095895359418,0.05111334090987292,0.0026125736189688887,272.9378927489704,28456.402752971393,0.004068758571520448,0.006544376024976373,0.010863307397812605,"[{'percentile': 90, 'value': 0.025481744669377804}]",539.4413881540298,762295.5,1.524591,1,05,25,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
5,1519531,81705,1601236,0.0,1.3374117016792297,1.3374117016792297,0.02043789046348812,0.02043789046348812,0.056808532028062825,0.0032272093111834397,277.95692578718007,31056.008133874566,0.004115426214411855,0.0066145602613687515,0.011087628547102213,"[{'percentile': 90, 'value': 0.027613715268671513}]",539.4413881540298,762295.5,1.524591,1,05,30,median,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
0,1519531,81705,1601236,0.0,0.4185105562210083,0.4185105562210083,0.008962514452169421,0.008962514452169421,0.017339007962163585,0.00030064119711197224,193.46142262528338,13618.818548019452,0.002947139786556363,0.0051380847580730915,0.008443881757557392,"[{'percentile': 90, 'value': 0.015085683204233646}]",539.4413881540298,762295.5,1.524591,1,05,05,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
1,1519531,81705,1601236,0.0,0.5084775686264038,0.5084775686264038,0.011581126596393116,0.011581126596393116,0.028961464188388585,0.0008387664079353146,250.07467060595374,17597.880878143827,0.003006681567057967,0.005301872733980417,0.008882063440978527,"[{'percentile': 90, 'value': 0.017592987045645714}]",539.4413881540298,762295.5,1.524591,1,05,10,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
2,1519531,81705,1601236,0.0,0.6807710528373718,0.6807710528373718,0.01380584151024227,0.01380584151024227,0.03751017084167756,0.0014070129165718378,271.69782308343565,20978.404155899945,0.003065447323024273,0.00538251269608736,0.009194435551762581,"[{'percentile': 90, 'value': 0.019864561036229134}]",539.4413881540298,762295.5,1.524591,1,05,15,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
3,1519531,81705,1601236,0.0,0.8942491412162781,0.8942491412162781,0.015806198414356255,0.015806198414356255,0.044626253939112265,0.001991502540638133,282.3338842727654,24018.008482765174,0.003123471513390541,0.005462354514747858,0.009472389705479145,"[{'percentile': 90, 'value': 0.021958839148283005}]",539.4413881540298,762295.5,1.524591,1,05,20,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
4,1519531,81705,1601236,0.0,1.1226948499679565,1.1226948499679565,0.01764756736419753,0.01764756736419753,0.0509026088909253,0.0025910755919025075,288.4398049908787,26816.025684486434,0.003180785570293665,0.005541426129639149,0.009717977605760098,"[{'percentile': 90, 'value': 0.02401646599173546}]",539.4413881540298,762295.5,1.524591,1,05,25,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
5,1519531,81705,1601236,0.0,1.3349055051803589,1.3349055051803589,0.019351642677405783,0.019351642677405783,0.05660140643918335,0.003203719210893626,292.4888981402541,29405.42094924109,0.003180785570293665,0.00561975222080946,0.009932853281497955,"[{'percentile': 90, 'value': 0.02611692063510418}]",539.4413881540298,762295.5,1.524591,1,05,30,minimum,0.045138079486091325,0.0011453502685205591,1_05,1.4142135623730951,0.47606692579981963
