,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
187,clay-center,10,2.0,15242,30484.0,7,1.5554850101470947,1524200,1.5242,2.0,0.005727485831577855,0.028
188,clay-center,10,2.0,15242,30484.0,8,1.5800604820251465,1524200,1.5242,2.0,0.005727485831577855,0.028
189,clay-center,10,2.0,15242,30484.0,9,1.623753309249878,1524200,1.5242,2.0,0.005727485831577855,0.028
190,clay-center,10,4.0,15242,60968.0,0,2.3770246505737305,1524200,1.5242,4.0,0.004049944070658573,0.028
191,clay-center,10,4.0,15242,60968.0,1,2.423194408416748,1524200,1.5242,4.0,0.004049944070658573,0.028
192,clay-center,10,4.0,15242,60968.0,2,2.4338881969451904,1524200,1.5242,4.0,0.004049944070658573,0.028
193,clay-center,10,4.0,15242,60968.0,3,2.388981580734253,1524200,1.5242,4.0,0.004049944070658573,0.028
194,clay-center,10,4.0,15242,60968.0,4,2.353353500366211,1524200,1.5242,4.0,0.004049944070658573,0.028
195,clay-center,10,4.0,15242,60968.0,5,2.34684419631958,1524200,1.5242,4.0,0.004049944070658573,0.028
196,clay-center,10,4.0,15242,60968.0,6,2.3433079719543457,1524200,1.5242,4.0,0.004049944070658573,0.028
197,clay-center,10,4.0,15242,60968.0,7,2.4244112968444824,1524200,1.5242,4.0,0.004049944070658573,0.028
198,clay-center,10,4.0,15242,60968.0,8,2.382967710494995,1524200,1.5242,4.0,0.004049944070658573,0.028
199,clay-center,10,4.0,15242,60968.0,9,2.278224468231201,1524200,1.5242,4.0,0.004049944070658573,0.028
200,clay-center,30,0.25,1693,423.25,0,0.145334243774414,1523700,1.5237,0.25,0.04860730209436736,0.028
201,clay-center,30,0.25,1693,423.25,1,0.2319042682647705,1523700,1.5237,0.25,0.04860730209436736,0.028
202,clay-center,30,0.25,1693,423.25,2,0.113215684890747,1523700,1.5237,0.25,0.04860730209436736,0.028
203,clay-center,30,0.25,1693,423.25,3,0.1093254089355468,1523700,1.5237,0.25,0.04860730209436736,0.028
